M = 50  (0/123 already done)
  test_r=0.5603  n_iter=1232  wall=138.5s
  test_r=0.9860  n_iter=866  wall=94.5s
  test_r=0.9828  n_iter=813  wall=91.1s
  test_r=0.9813  n_iter=919  wall=106.2s
  test_r=0.9358  n_iter=1500  wall=177.0s
  test_r=0.9323  n_iter=1275  wall=151.3s
  test_r=0.9346  n_iter=1450  wall=167.9s
  test_r=0.8633  n_iter=490  wall=56.3s
  test_r=0.8523  n_iter=481  wall=55.8s
  test_r=0.8551  n_iter=512  wall=60.0s
  test_r=0.8752  n_iter=592  wall=71.5s
  test_r=0.8635  n_iter=640  wall=75.1s
  test_r=0.8480  n_iter=628  wall=73.0s
  test_r=0.6463  n_iter=523  wall=57.8s
  test_r=0.6417  n_iter=658  wall=72.7s
  test_r=0.7101  n_iter=548  wall=60.6s
  test_r=0.7446  n_iter=844  wall=90.5s
  test_r=0.7389  n_iter=806  wall=91.6s
  test_r=0.2234  n_iter=472  wall=55.2s
  test_r=0.6752  n_iter=778  wall=88.7s
  test_r=0.6750  n_iter=1240  wall=141.2s
  test_r=0.6759  n_iter=859  wall=98.6s
  test_r=0.8357  n_iter=550  wall=64.0s
  test_r=0.8666  n_iter=496  wall=56.9s
  test_r=0.8692  n_iter=394  wall=44.2s
  test_r=0.9001  n_iter=1361  wall=150.1s
  test_r=0.8798  n_iter=1235  wall=138.2s
  test_r=0.9081  n_iter=1500  wall=167.8s
  test_r=0.9150  n_iter=743  wall=82.5s
  test_r=0.9012  n_iter=735  wall=82.2s
  test_r=0.9038  n_iter=755  wall=85.6s
  test_r=0.9569  n_iter=463  wall=53.9s
  test_r=0.9555  n_iter=407  wall=45.9s
  test_r=0.9575  n_iter=526  wall=59.2s
  test_r=0.9638  n_iter=745  wall=84.3s
  test_r=0.9417  n_iter=841  wall=93.5s
  test_r=0.9731  n_iter=643  wall=71.5s
  test_r=0.9359  n_iter=1065  wall=114.6s
  test_r=0.9366  n_iter=881  wall=92.9s
  test_r=0.9387  n_iter=1323  wall=139.9s
  test_r=0.8883  n_iter=898  wall=97.3s
  test_r=0.9217  n_iter=743  wall=82.1s
  test_r=0.9153  n_iter=974  wall=111.0s
  test_r=0.6506  n_iter=705  wall=80.6s
  test_r=0.6540  n_iter=680  wall=77.0s
  test_r=0.6417  n_iter=808  wall=90.5s
  test_r=0.9520  n_iter=840  wall=91.6s
  test_r=0.9461  n_iter=1004  wall=105.8s
  test_r=0.9536  n_iter=782  wall=85.4s
  test_r=0.8929  n_iter=825  wall=87.7s
  test_r=0.8728  n_iter=976  wall=98.4s
  test_r=0.8810  n_iter=962  wall=101.9s
  test_r=0.9615  n_iter=1374  wall=148.1s
  test_r=0.9633  n_iter=1500  wall=163.6s
  test_r=0.9089  n_iter=1500  wall=164.9s
  test_r=0.6914  n_iter=911  wall=102.3s
  test_r=0.6971  n_iter=884  wall=99.3s
  test_r=0.7385  n_iter=1124  wall=126.7s
  test_r=0.8728  n_iter=610  wall=70.1s
  test_r=0.8800  n_iter=646  wall=73.7s
  test_r=0.8612  n_iter=539  wall=60.2s
  test_r=0.8184  n_iter=874  wall=97.5s
  test_r=0.8066  n_iter=915  wall=102.7s
  test_r=0.7757  n_iter=794  wall=90.9s
  test_r=0.7125  n_iter=1010  wall=119.2s
  test_r=0.7506  n_iter=705  wall=82.9s
