M,mode,test_r,explained_var,time_s,final_A,final_lambda0
50,vargp_direct,0.903,1.0181,5.33,0.016386,-0.906384
50,default_gpy,-0.0491,-0.0549,3.74,0.00468,-0.058092
100,vargp_direct,0.9096,1.0254,5.7,0.016249,-0.914643
100,default_gpy,0.1047,0.1176,3.93,0.004726,-0.009767
200,vargp_direct,0.9113,1.0273,6.09,0.016716,-0.921869
200,default_gpy,0.1074,0.1208,4.54,0.004781,-0.011097
500,vargp_direct,0.9098,1.0257,7.11,0.016748,-0.887093
500,default_gpy,0.0169,0.0195,6.83,0.004877,-0.061626
